row_index,key,token_count
486,YARN-6345,50
487,YARN-6369,16
488,YARN-6366,43
489,YARN-6364,39
490,YARN-6358,52
491,YARN-6357,123
492,YARN-6355,59
493,YARN-6347,44
494,YARN-6320,116
495,YARN-6314,68
496,YARN-6306,16
497,YARN-6282,32
498,YARN-6266,28
499,YARN-6255,18
500,YARN-6254,25
501,YARN-6234,31
502,YARN-6224,39
503,YARN-6223,134
504,YARN-6207,27
505,YARN-6192,10
506,YARN-6179,75
507,YARN-6167,32
508,YARN-6162,65
509,YARN-6161,26
510,YARN-6160,24
511,YARN-6137,40
512,YARN-6127,34
513,YARN-1474,16
514,YARN-6121,18
515,YARN-6101,116
516,YARN-6100,7
517,YARN-6099,6
518,YARN-6095,23
519,YARN-6080,22
520,YARN-6069,36
521,YARN-6067,26
522,YARN-6058,61
523,YARN-6045,44
524,YARN-6043,100
525,YARN-6040,65
526,YARN-6037,47
527,YARN-6011,8
528,YARN-6008,67
529,YARN-6005,12
530,YARN-5990,27
531,YARN-5984,31
532,YARN-5983,92
533,YARN-5972,97
534,YARN-5955,17
535,YARN-5953,8
536,YARN-5952,10
537,YARN-5949,27
538,YARN-5940,36
539,YARN-5932,39
540,YARN-5910,92
541,YARN-5906,142
542,YARN-5905,63
543,YARN-5900,58
544,YARN-5889,25
545,YARN-5887,66
546,YARN-5886,51
547,YARN-5883,34
548,YARN-5881,41
549,YARN-5872,24
550,YARN-5869,28
551,YARN-5860,49
552,YARN-5846,113
553,YARN-5832,29
554,YARN-5820,14
555,YARN-2215,21
556,YARN-5789,69
557,YARN-5780,28
558,YARN-5769,22
559,YARN-5761,22
560,YARN-5740,66
561,YARN-5739,84
562,YARN-5734,200
563,YARN-5732,43
564,YARN-5727,88
565,YARN-5724,75
566,YARN-5718,74
567,YARN-5716,22
568,YARN-5704,19
569,YARN-5702,36
570,YARN-5715,136
571,YARN-5708,14
572,YARN-5699,45
573,YARN-5692,51
574,YARN-5683,349
575,YARN-5681,33
576,YARN-5677,93
577,YARN-5648,6
578,YARN-5673,213
579,YARN-5668,42
580,YARN-5667,69
581,YARN-5658,32
582,YARN-5644,65
583,YARN-5638,40
584,YARN-5637,25
585,YARN-5606,75
586,YARN-5636,66
587,YARN-5634,28
588,YARN-5629,26
589,YARN-5627,36
590,YARN-5626,39
591,YARN-5605,21
592,YARN-5619,87
593,YARN-5618,31
594,YARN-5612,25
595,YARN-5611,17
596,YARN-5593,50
597,YARN-5590,8
598,YARN-5587,17
599,YARN-5585,97
600,YARN-5556,30
601,YARN-5547,53
602,YARN-5541,21
603,YARN-5532,28
604,YARN-5531,42
605,YARN-5520,148
606,YARN-5519,21
607,YARN-5518,81
608,YARN-5517,63
609,YARN-5516,14
610,YARN-5505,31
611,YARN-5457,12
612,YARN-5501,83
613,YARN-5479,213
614,YARN-5478,19
615,YARN-5473,18
616,YARN-5468,44
617,YARN-5461,6
618,YARN-5452,18
619,YARN-5426,40
620,YARN-5413,49
621,YARN-5412,49
622,YARN-5411,45
623,YARN-5410,22
624,YARN-5408,21
625,YARN-5407,27
626,YARN-5406,22
627,YARN-5396,62
628,YARN-5392,46
629,YARN-5391,6
630,YARN-5390,22
631,YARN-5357,177
632,YARN-5387,68
633,YARN-5386,26
634,YARN-5385,26
635,YARN-5384,28
636,YARN-5366,83
637,YARN-5355,28
638,YARN-5352,41
639,YARN-5342,55
640,YARN-5261,27
641,YARN-5330,30
642,YARN-5329,31
643,YARN-5328,32
644,YARN-5327,31
645,YARN-5326,45
646,YARN-5325,19
647,YARN-5324,15
648,YARN-5321,13
649,YARN-5307,25
650,YARN-5304,76
651,YARN-5295,74
652,YARN-5292,20
653,YARN-5290,60
654,YARN-5281,39
655,YARN-5280,52
656,YARN-5256,20
657,YARN-5255,57
658,YARN-5225,45
659,YARN-5220,93
660,YARN-5218,11
661,YARN-5215,27
662,YARN-5211,46
663,YARN-5207,45
664,YARN-5202,176
665,YARN-5177,50
666,YARN-5175,68
667,YARN-5140,103
668,YARN-5139,56
669,YARN-5137,17
670,YARN-5113,11
671,YARN-5086,35
672,YARN-5085,35
673,YARN-5081,33
674,YARN-5079,124
675,YARN-5078,55
676,YARN-5076,26
677,YARN-5046,40
678,YARN-5025,42
679,YARN-5015,44
680,YARN-5008,42
681,YARN-4993,26
682,YARN-4985,59
683,YARN-4958,185
684,YARN-4966,22
685,YARN-4963,56
686,YARN-4962,41
687,YARN-4952,49
688,YARN-4950,16
689,YARN-4948,35
690,YARN-4945,19
691,YARN-4213,27
692,YARN-4904,4
693,YARN-4902,54
694,YARN-4864,75
695,YARN-4889,27
696,YARN-4888,30
697,YARN-4887,30
698,YARN-4879,52
699,YARN-4877,82
700,YARN-4876,38
701,YARN-4874,5
702,YARN-4873,5
703,YARN-4870,7
704,YARN-4835,64
705,YARN-4830,12
706,YARN-4822,95
707,YARN-4793,151
708,YARN-4781,52
709,YARN-4777,66
710,YARN-4773,44
711,YARN-4766,53
712,YARN-4758,105
713,YARN-4757,106
714,YARN-4742,15
715,YARN-4752,44
716,YARN-4737,32
717,YARN-4730,130
718,YARN-4726,120
719,YARN-4725,90
720,YARN-4724,147
721,YARN-4719,64
722,YARN-4716,90
723,YARN-4715,32
724,YARN-4696,66
725,YARN-4692,67
726,YARN-4683,19
727,YARN-4676,118
728,YARN-4665,155
729,YARN-4619,68
730,YARN-4611,27
731,YARN-4479,36
732,YARN-4602,111
733,YARN-4601,52
734,YARN-4600,17
735,YARN-4599,31
736,YARN-4597,25
737,YARN-4595,48
738,YARN-4591,34
739,YARN-4561,71
740,YARN-4578,27
741,YARN-4576,223
742,YARN-4559,16
743,YARN-4553,42
744,YARN-4523,24
745,YARN-4537,53
746,YARN-4515,21
747,YARN-4511,7
748,YARN-3776,24
749,YARN-4496,58
750,YARN-4473,38
751,YARN-4471,22
752,YARN-4466,21
753,YARN-4349,51
754,YARN-4447,8
755,YARN-4443,21
756,YARN-4438,21
757,YARN-4435,28
758,YARN-4433,60
759,YARN-4425,54
760,YARN-4420,19
761,YARN-4417,28
762,YARN-4412,46
763,YARN-4405,32
764,YARN-4390,47
765,YARN-4368,20
766,YARN-4360,33
767,YARN-4353,61
768,YARN-4335,26
769,YARN-4333,68
770,YARN-4276,29
771,YARN-4275,43
772,YARN-4271,35
773,YARN-4266,84
774,YARN-4265,48
775,YARN-4248,19
776,YARN-4245,60
777,YARN-4234,16
778,YARN-4233,46
779,YARN-4231,37
780,YARN-4225,8
781,YARN-4224,12
782,YARN-4221,33
783,YARN-4219,38
784,YARN-4205,31
785,YARN-4199,64
786,YARN-4197,26
787,YARN-4195,18
788,YARN-4194,18
789,YARN-4193,27
790,YARN-4189,142
791,YARN-4186,25
792,YARN-4181,78
793,YARN-4176,54
794,YARN-4166,11
795,YARN-4162,26
796,YARN-4161,48
