issue_id,issue_key,project,votes,parent_key,parent_summary,has_parent,summary,description,raw_text,cleaned_text,token_list,issue_type,status,priority,reporter,assignee,created_date,updated_date,resolution_date,labels,components,fix_versions,comments,number_of_comments,comment_dates,comment_developers,bot_comment_count,human_comment_count,has_bot_comments,attachments,number_of_attachments,attachment_dates,attachment_files,has_attachments,design_decision_types
,YARN-8634,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8626,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8621,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8618,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8599,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8598,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8597,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8572,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8583,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-8571,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8559,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8556,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8551,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8533,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-8532,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-8499,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8495,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-8493,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False True False
,YARN-8489,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8488,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8472,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-8468,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8451,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8461,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8452,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False True False
,YARN-8446,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-8412,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8411,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8392,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8304,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8379,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8364,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8361,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8356,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8352,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8306,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8345,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8333,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8320,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-8314,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8303,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8298,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8286,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8283,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8256,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8250,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-8240,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8238,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8192,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8186,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8178,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-8170,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8157,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8146,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False True False
,YARN-8137,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False True False
,YARN-8134,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8131,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
