issue_key,design_decision_types,project,issue_id,votes,parent_key,parent_summary,has_parent,summary,description,raw_text,cleaned_text,token_list,issue_type,status,priority,reporter,assignee,created_date,updated_date,resolution_date,labels,components,fix_versions,comments,number_of_comments,comment_dates,comment_developers,bot_comment_count,human_comment_count,has_bot_comments,attachments,number_of_attachments,attachment_dates,attachment_files,has_attachments
YARN-9276,False True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9249,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9230,True False True,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9228,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9200,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9174,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9150,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9146,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9145,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9116,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9098,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9086,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9059,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9060,True False True,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9056,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9055,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9050,True True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9045,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9038,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9034,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9023,True True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9021,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9016,True False True,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9015,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9014,True False True,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
